tid,1,2,3,4,6,8,12,16,20,24,32,48,64,H_bits,len_tokens,train_frequency,k_min,non_monotone
control|ssn|Timothy Bruce,0,0,0,0,0,0,0,1,2,2,2,2,3,70.12203979492188,10,0,16,False
trained|email|Alexis Baker,0,0,0,0,0,1,3,3,3,3,3,3,3,80.15894317626953,10,5,8,False
trained|email|Allison Hill,0,0,0,0,0,2,3,3,3,3,3,3,3,83.10099029541016,10,1,8,False
trained|email|Antonio Norman,0,0,0,0,3,3,3,3,3,3,3,3,3,62.55542755126953,8,20,6,False
trained|email|Brandon Moore,0,0,0,0,0,1,3,3,3,3,3,3,3,93.85677337646484,10,20,8,False
trained|email|Courtney Hall,0,0,0,0,1,3,3,3,3,3,3,3,3,63.65266418457031,9,5,6,False
trained|email|Deanna Smith,0,0,0,0,0,3,3,3,3,3,3,3,3,85.50352478027344,9,20,8,False
trained|email|Donna Frye,0,0,0,1,3,3,3,3,3,3,3,3,3,59.79683303833008,9,5,4,False
trained|email|Emily Hayes,0,0,0,0,0,1,2,3,3,3,3,3,3,88.79307556152344,11,5,8,False
trained|email|Gina Mack,0,0,0,0,0,3,3,3,3,3,3,3,3,78.24922943115234,11,20,8,False
trained|email|Jason Newton,0,0,0,0,3,3,3,3,3,3,3,3,3,72.70268249511719,12,20,6,False
trained|email|Jason Powell,0,0,0,0,1,3,3,3,3,3,3,3,3,71.25579833984375,10,1,6,False
trained|email|Krystal Diaz,0,0,0,0,0,3,3,3,3,3,3,3,3,76.50662994384766,11,20,8,False
trained|email|Laura Diaz,0,0,0,1,3,3,3,3,3,3,3,3,3,70.87628173828125,11,20,4,False
trained|email|Laura Wilson,0,0,0,1,2,3,3,3,3,3,3,3,3,57.292625427246094,9,20,4,False
trained|email|Leonard Gray,0,0,0,0,1,2,3,3,3,3,3,3,3,61.671592712402344,10,5,6,False
trained|email|Michelle Fletcher,0,0,0,0,0,2,3,3,3,3,3,3,3,63.118595123291016,9,20,8,False
trained|email|Misty Garcia,0,0,0,0,2,3,3,3,3,3,3,3,3,57.15336227416992,8,20,6,False
trained|email|Monica Baker,0,0,0,0,1,3,3,3,3,3,3,3,3,73.90625762939453,11,20,6,False
trained|email|Ms. Jennifer Hill,0,0,0,3,3,3,3,3,3,3,3,3,3,56.34782791137695,9,20,4,False
trained|email|Paul Johnson,0,0,0,0,2,3,3,3,3,3,3,3,3,78.3939208984375,11,20,6,False
trained|email|Robert Chase,0,0,0,0,0,1,3,3,3,3,3,3,3,78.97562408447266,10,1,8,False
trained|email|Ryan Harvey,0,0,0,0,3,3,3,3,3,3,3,3,3,65.31535339355469,9,20,6,False
trained|email|Tricia Mullins DDS,0,0,0,0,1,3,3,3,3,3,3,3,3,62.86015319824219,10,20,6,False
trained|email|Virginia Spencer,0,0,0,0,0,2,3,3,3,3,3,3,3,71.41950988769531,10,5,8,False
trained|email|Willie Durham,0,0,0,0,0,2,3,3,3,3,3,3,3,66.2494888305664,8,5,8,False
trained|ssn|Alexis Baker,0,0,0,0,0,0,1,2,2,3,1,3,2,73.33283233642578,9,5,12,False
